Nature, Attack, Defense, SpA, SpD, Speed
Lonely, 110, 90, 100, 100, 100
Brave, 110, 100, 100, 100, 90
Adamant, 110, 100, 90, 100, 100
Naughty, 110, 100, 100, 90, 100
Bold, 90, 110, 100, 100, 100
Relaxed, 100, 110, 100, 100, 90
Impish, 100, 110, 90, 100, 100
Lax, 100, 110, 100, 90, 100
Timid, 90, 100, 100, 100, 110
Hasty, 100, 90, 100, 100, 110
Jolly, 100, 100, 90, 100, 110
Naive, 100, 100, 100, 90, 110
Modest, 90, 100, 110, 100, 100
Mild, 100, 90, 110, 100, 100
Quiet, 100, 100, 110, 100, 90
Rash, 100, 100, 110, 90, 100
Calm, 90, 100, 100, 110, 100
Gentle, 100, 90, 100, 110, 100
Sassy, 100, 100, 100, 110, 90
Careful, 100, 100, 90, 110, 100